Year,Avg
2000,29.209375
2001,28.7453125
2002,28.34947917
2003,28.00572917
2004,27.67708333
2005,27.35989583
2006,27.03125
2007,26.69635417
2008,26.34791667
2009,26.01197917
2010,25.7234375
2011,25.534375
2012,25.43177083
2013,25.39947917
2014,25.42395833
2015,25.50364583
2016,25.61770833
2017,25.75989583
2018,25.925
2019,26.1203125
2020,26.37864583
2021,26.721875
2022,27.1796875
2023,27.73802083
