Year,Avg
2000,11.27548387
2001,11.26580645
2002,11.26322581
2003,11.24322581
2004,11.22516129
2005,11.20387097
2006,11.18387097
2007,11.16387097
2008,11.14387097
2009,11.13806452
2010,11.12709677
2011,11.11354839
2012,11.10258065
2013,11.09419355
2014,11.08193548
2015,11.0716129
2016,11.05419355
2017,11.03483871
2018,11.01419355
2019,11.00580645
2020,10.98903226
2021,#DIV/0!
2022,#DIV/0!
2023,#DIV/0!
2024,#DIV/0!
